,index,zone,type,capacity
66,MN-C_storage,MN-C,Storage,1363.6363636363637
67,MN-NE_storage,MN-NE,Storage,1363.6363636363637
68,MN-SE_storage,MN-SE,Storage,1363.6363636363637
69,ATC_storage,ATC,Storage,1363.6363636363637
70,UPPC_storage,UPPC,Storage,1363.6363636363637
71,MEC_storage,MEC,Storage,1363.6363636363637
72,IA-E_storage,IA-E,Storage,1363.6363636363637
73,CBPC-NIPCO_storage,CBPC-NIPCO,Storage,1363.6363636363637
74,IL-C_storage,IL-C,Storage,1363.6363636363637
75,SIPC_storage,SIPC,Storage,1363.6363636363637
76,MISO-MO_storage,MISO-MO,Storage,1363.6363636363637
77,AECIZ_storage,AECIZ,Storage,1363.6363636363637
78,IN-S_storage,IN-S,Storage,1363.6363636363637
79,IN-C_storage,IN-C,Storage,1363.6363636363637
80,NIPS_storage,NIPS,Storage,1363.6363636363637
81,CONS_storage,CONS,Storage,1363.6363636363637
82,DECO_storage,DECO,Storage,1363.6363636363637
83,EES-ARK_storage,EES-ARK,Storage,1363.6363636363637
84,LA-GULF_storage,LA-GULF,Storage,1363.6363636363637
85,LA-N_storage,LA-N,Storage,1363.6363636363637
86,EES-TX_storage,EES-TX,Storage,1363.6363636363637
87,MISO-MS_storage,MISO-MS,Storage,1363.6363636363637
