,level_0,index,Generator Name,category,MISO_Bubble,Bubble,Max Capacity,Region,Forced Outage Rate,Maintenance Rate_Band2,Mean Time to Repair,Mean Time to Repair_Band2,FORandMaintenance,recoverprob,failureprob
62,408,473,R S Nelson_1,Coal_ST,LA-Gulf_26,26,153.0,MISO-9,2.4,8.4,51.0,736.0,10.8,0.0196078431372549,0.002374043787918755
63,409,474,R S Nelson_3,Coal_ST,LA-Gulf_26,26,550.0,MISO-9,2.4,10.44,45.0,915.0,12.84,0.022222222222222223,0.0032736729386568767
64,410,475,RS Cogen_2,CC,LA-Gulf_26,26,185.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
65,416,482,River Bend_1,Nuclear,LA-Gulf_26,26,1080.0,MISO-9,2.4,6.74,152.0,590.0,9.14,0.006578947368421052,0.0006618047429822632
66,428,498,Rodemacher_2,Coal_ST,LA-N_28,28,555.0,MISO-9,2.4,10.44,45.0,915.0,12.84,0.022222222222222223,0.0032736729386568767
67,429,499,Rodemacher_3,Coal_ST,LA-N_28,28,720.0,MISO-9,2.4,10.04,51.0,880.0,12.44,0.0196078431372549,0.0027857648312865574
68,458,530,Sidney A Murray Jr Hydroelectric,Hydro,LA-N_28,28,160.0,MISO-9,2.4,0.0,100.0,,2.4,0.01,0.0002459016393442623
69,483,560,Stone Container Hodge_1,Biomass,LA-N_28,28,18.0,MISO-9,7.04,6.93,86.0,607.0,13.969999999999999,0.011627906976744186,0.0018882001681403728
70,494,571,T J Labbe Electric Generating_1,Gas_GT,LA-N_28,28,50.0,MISO-9,2.4,5.18,68.0,454.0,7.58,0.014705882352941176,0.0012061305803429357
71,495,575,Taft Cogeneration Facility_1,CC,LA-N_28,28,170.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
72,496,576,Taft Cogeneration Facility_2,CC,LA-N_28,28,170.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
73,497,577,Taft Cogeneration Facility_3,CC,LA-N_28,28,170.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
74,498,578,Taft Cogeneration Facility_4,CC,LA-N_28,28,325.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
75,529,617,Waterford 3_1,Nuclear,LA-N_28,28,1214.0,MISO-9,2.4,6.74,152.0,590.0,9.14,0.006578947368421052,0.0006618047429822632
76,568,658,scenA_CC_303005_1,CC,LA-N_28,28,500.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
77,571,661,scenA_CC_500520_4,CC,LA-N_28,28,500.0,MISO-9,2.4,8.48,36.0,743.0,10.88,0.027777777777777776,0.0033911829243965692
78,679,783,scenA_CT_303000_1,Gas_GT,LA-N_28,28,100.0,MISO-9,2.4,3.68,166.0,322.0,6.08,0.006024096385542169,0.00038997557521397344
79,680,784,scenA_CT_335537_2,Gas_GT,LA-Gulf_26,26,100.0,MISO-9,2.4,3.68,166.0,322.0,6.08,0.006024096385542169,0.00038997557521397344
