resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
LA-GULFDistributedSolar,100,0.2,100000,96,100,1164.14647,3.1238700000000033
LA-NDistributedSolar,100,0.2,100000,0,100,0.0,0.0
