resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,250,312,500.63099999999986,0.6299999999999999
ATC6hour,500,3000,0.2,1000,375,437,32.382000000000005,0.08
CBPC-NIPCO6hour,500,3000,0.2,1000,375,437,254.60899999999998,1.1219999999999999
CONS6hour,500,3000,0.2,1000,437,500,33.580999999999996,0.09400000000000001
DECO6hour,500,3000,0.2,1000,312,375,1.3800000000000003,0.006000000000000001
EES-ARK6hour,500,3000,0.2,1000,312,375,5.755000000000001,0.017
EES-TX6hour,500,3000,0.2,1000,437,500,1383.51,1.99
IA-E6hour,500,3000,0.2,1000,312,375,94.94000000000003,0.22
IL-C6hour,500,3000,0.2,1000,312,375,12.150999999999998,0.027999999999999997
IN-C6hour,500,3000,0.2,1000,437,500,0.0,0.0
IN-S6hour,500,3000,0.2,1000,187,250,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,437,500,1995.4279999999999,2.4869999999999997
LA-N6hour,500,3000,0.2,1000,375,437,159.64999999999998,0.296
MEC6hour,500,3000,0.2,1000,375,437,1437.532,1.435
MISO-MO6hour,500,3000,0.2,1000,437,500,27.373999999999995,0.09100000000000001
MISO-MS6hour,500,3000,0.2,1000,437,500,597.6000000000001,1.273
MN-C6hour,500,3000,0.2,1000,437,500,67.685,0.23099999999999998
MN-NE6hour,500,3000,0.2,1000,437,500,2.15,0.017000000000000005
MN-SE6hour,500,3000,0.2,1000,375,437,536.0079999999999,0.604
NIPS6hour,500,3000,0.2,1000,437,500,0.0,0.0
SIPC6hour,500,3000,0.2,1000,437,500,0.0,0.0
UPPC6hour,500,3000,0.2,1000,437,500,18.787,0.199
