resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,2500,132,136,9.468811780800002e6,3704.9515999999994
ATCUtilitySolar,500,0.2,2500,484,500,1.3994666004000003e6,406.90719999999993
CBPC-NIPCOUtilitySolar,500,0.2,2500,375,390,335852.2552000001,452.18039999999996
CONSUtilitySolar,500,0.2,2500,484,500,1.7010142972000001e6,472.6644
DECOUtilitySolar,500,0.2,2500,484,500,332649.9372,181.82
EES-ARKUtilitySolar,500,0.2,2500,179,187,718718.3152,681.5640000000001
EES-TXUtilitySolar,500,0.2,2500,136,140,4.2015162488e6,3002.1419999999994
IA-EUtilitySolar,500,0.2,2500,452,468,1.2222399928e6,427.20920000000007
IL-CUtilitySolar,500,0.2,2500,484,500,813129.0760000001,327.6384
IN-CUtilitySolar,500,0.2,2500,484,500,20259.472800000003,34.019999999999996
IN-SUtilitySolar,500,0.2,2500,484,500,4.079199999999999,0.04440000000000002
LA-GULFUtilitySolar,500,0.2,2500,93,97,1.2969834805600002e7,5502.975999999999
LA-NUtilitySolar,500,0.2,2500,171,175,2.7937047784e6,1540.9592
MECUtilitySolar,500,0.2,2500,390,406,3.1250255268000006e6,713.4351999999999
MISO-MOUtilitySolar,500,0.2,2500,175,179,4.619765013600001e6,1773.73
MISO-MSUtilitySolar,500,0.2,2500,136,140,4.995823203199999e6,3275.6436
MN-CUtilitySolar,500,0.2,2500,484,500,281360.988,263.28040000000004
MN-NEUtilitySolar,500,0.2,2500,484,500,72665.6624,194.192
MN-SEUtilitySolar,500,0.2,2500,452,468,1.6460634203999997e6,378.9300000000001
NIPSUtilitySolar,500,0.2,2500,484,500,19939.230799999998,61.21520000000001
SIPCUtilitySolar,500,0.2,2500,312,319,59.75839999999999,2.4396
UPPCUtilitySolar,500,0.2,2500,406,421,61916.472,277.92400000000004
