resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
LA-GULFUtilitySolar,100,0.2,1000000,15,16,150.7076189999999,0.6419900000000033
LA-NUtilitySolar,100,0.2,1000000,0,100,0.0,0.0
