resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
LA-GULF6hour,100,600,0.2,1000000,80,81,3889.1529340000047,9.043009999999988
LA-N6hour,100,600,0.2,1000000,80,81,3.4259909999999807,0.010858999999999992
