resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,375,406,6747.185999999997,4.847
ATC6hour,500,3000,0.2,1000,343,375,236.73400000000007,0.19700000000000012
CBPC-NIPCO6hour,500,3000,0.2,1000,437,468,2620.862000000001,5.94
CONS6hour,500,3000,0.2,1000,343,375,338.77099999999996,0.40099999999999997
DECO6hour,500,3000,0.2,1000,312,343,32.90100000000002,0.04800000000000001
EES-ARK6hour,500,3000,0.2,1000,468,500,8.857000000000001,0.031999999999999994
EES-TX6hour,500,3000,0.2,1000,468,500,3282.629,6.332999999999998
IA-E6hour,500,3000,0.2,1000,468,500,792.9139999999999,1.1470000000000002
IL-C6hour,500,3000,0.2,1000,468,500,105.22000000000003,0.192
IN-C6hour,500,3000,0.2,1000,343,375,0.0,0.0
IN-S6hour,500,3000,0.2,1000,468,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,468,500,11921.958000000002,9.895000000000003
LA-N6hour,500,3000,0.2,1000,437,468,379.12899999999985,0.8370000000000002
MEC6hour,500,3000,0.2,1000,437,468,16254.177000000003,7.405000000000001
MISO-MO6hour,500,3000,0.2,1000,406,437,1253.656999999999,1.8370000000000002
MISO-MS6hour,500,3000,0.2,1000,468,500,2120.523,4.297999999999999
MN-C6hour,500,3000,0.2,1000,437,468,215.2970000000001,0.3510000000000001
MN-NE6hour,500,3000,0.2,1000,312,343,32.713,0.1580000000000001
MN-SE6hour,500,3000,0.2,1000,406,437,2762.6350000000007,3.069999999999999
NIPS6hour,500,3000,0.2,1000,375,437,0.8649999999999999,0.008000000000000002
SIPC6hour,500,3000,0.2,1000,406,437,0.25600000000000006,0.016000000000000007
UPPC6hour,500,3000,0.2,1000,312,343,73.101,1.1650000000000005
