resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,156,187,9558.793,5.034000000000001
ATCUtilitySolar,500,0.2,1000,437,500,617.735,0.8289999999999998
CBPC-NIPCOUtilitySolar,500,0.2,1000,437,500,682.85,1.501
CONSUtilitySolar,500,0.2,1000,375,437,1511.008,1.1540000000000001
DECOUtilitySolar,500,0.2,1000,375,437,94.404,0.17900000000000002
EES-ARKUtilitySolar,500,0.2,1000,125,140,373.35099999999994,0.6849999999999999
EES-TXUtilitySolar,500,0.2,1000,125,140,29699.024999999998,44.437
IA-EUtilitySolar,500,0.2,1000,437,500,1633.219,1.169
IL-CUtilitySolar,500,0.2,1000,375,437,578.453,0.548
IN-CUtilitySolar,500,0.2,1000,312,375,0.139,0.002
IN-SUtilitySolar,500,0.2,1000,375,437,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,109,125,113230.738,77.301
LA-NUtilitySolar,500,0.2,1000,109,125,9919.884000000002,13.251
MECUtilitySolar,500,0.2,1000,437,500,4756.887,2.3990000000000005
MISO-MOUtilitySolar,500,0.2,1000,312,343,1858.4740000000002,2.1300000000000003
MISO-MSUtilitySolar,500,0.2,1000,109,125,38242.309,51.95700000000001
MN-CUtilitySolar,500,0.2,1000,437,500,148.686,0.36100000000000004
MN-NEUtilitySolar,500,0.2,1000,437,500,8.363000000000001,0.049
MN-SEUtilitySolar,500,0.2,1000,437,500,4155.205,2.025
NIPSUtilitySolar,500,0.2,1000,375,437,2.886,0.015
SIPCUtilitySolar,500,0.2,1000,250,312,0.23399999999999987,0.012
UPPCUtilitySolar,500,0.2,1000,375,437,58.617000000000004,1.0299999999999998
