resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,148,156,1.4455090870000005e6,1038.3610000000003
ATCUtilitySolar,500,0.2,1000,437,500,38457.75700000001,32.061
CBPC-NIPCOUtilitySolar,500,0.2,1000,296,312,51546.814000000006,101.299
CONSUtilitySolar,500,0.2,1000,375,500,46404.31099999999,34.508
DECOUtilitySolar,500,0.2,1000,250,500,1146.9689999999998,2.162000000000001
EES-ARKUtilitySolar,500,0.2,1000,421,437,9240.943,18.706999999999997
EES-TXUtilitySolar,500,0.2,1000,218,226,282796.327,396.6340000000001
IA-EUtilitySolar,500,0.2,1000,468,500,53107.878000000004,59.233000000000004
IL-CUtilitySolar,500,0.2,1000,437,500,6477.846000000001,9.976999999999999
IN-CUtilitySolar,500,0.2,1000,250,500,2.603999999999999,0.013
IN-SUtilitySolar,500,0.2,1000,250,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,89,93,1.7352422219999998e6,1402.1619999999998
LA-NUtilitySolar,500,0.2,1000,312,327,56093.51899999999,83.21800000000003
MECUtilitySolar,500,0.2,1000,296,312,779371.2300000001,349.232
MISO-MOUtilitySolar,500,0.2,1000,281,296,280312.6710000001,256.06500000000005
MISO-MSUtilitySolar,500,0.2,1000,171,179,496566.8079999999,602.3939999999999
MN-CUtilitySolar,500,0.2,1000,468,500,14755.994999999999,31.045
MN-NEUtilitySolar,500,0.2,1000,437,500,1674.1069999999995,7.484
MN-SEUtilitySolar,500,0.2,1000,468,500,156800.99200000003,82.126
NIPSUtilitySolar,500,0.2,1000,375,500,10.135000000000002,0.06099999999999998
SIPCUtilitySolar,500,0.2,1000,468,484,0.09800000000000002,0.003999999999999999
UPPCUtilitySolar,500,0.2,1000,468,500,3563.1970000000006,27.517000000000003
