resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,38,46,729895.9940000001,636.013
ATC6hour,500,3000,0.2,1000,23,31,2922.7499999999995,3.2390000000000003
CBPC-NIPCO6hour,500,3000,0.2,1000,7,15,27804.585999999996,66.09100000000001
CONS6hour,500,3000,0.2,1000,69,77,2020.4919999999997,1.886
DECO6hour,500,3000,0.2,1000,15,23,20.589000000000006,0.032
EES-ARK6hour,500,3000,0.2,1000,23,31,193.686,0.261
EES-TX6hour,500,3000,0.2,1000,15,23,6634.384,15.2
IA-E6hour,500,3000,0.2,1000,23,31,12810.722,22.221000000000004
IL-C6hour,500,3000,0.2,1000,23,31,395.501,0.6239999999999999
IN-C6hour,500,3000,0.2,1000,38,46,0.0,0.0
IN-S6hour,500,3000,0.2,1000,15,23,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,23,31,294278.70099999994,339.31399999999996
LA-N6hour,500,3000,0.2,1000,46,54,603.3700000000001,0.8150000000000001
MEC6hour,500,3000,0.2,1000,23,31,697432.2870000001,355.92
MISO-MO6hour,500,3000,0.2,1000,31,38,91085.936,102.473
MISO-MS6hour,500,3000,0.2,1000,23,31,70123.25000000001,102.286
MN-C6hour,500,3000,0.2,1000,54,62,4346.945,10.458
MN-NE6hour,500,3000,0.2,1000,38,46,342.75,1.7840000000000003
MN-SE6hour,500,3000,0.2,1000,23,31,80576.772,44.077999999999996
NIPS6hour,500,3000,0.2,1000,46,54,0.0,0.0
SIPC6hour,500,3000,0.2,1000,38,46,0.0,0.0
UPPC6hour,500,3000,0.2,1000,38,46,334.431,3.0279999999999996
