resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,187,250,8443.175000000001,3.932
ATCUtilityWind,500,0.2,1000,125,187,396.74600000000004,0.591
CBPC-NIPCOUtilityWind,500,0.2,1000,125,187,814.8720000000001,2.146
CONSUtilityWind,500,0.2,1000,250,312,976.163,0.9459999999999997
DECOUtilityWind,500,0.2,1000,125,187,23.544999999999998,0.058
EES-ARKUtilityWind,500,0.2,1000,93,125,104.477,0.19900000000000007
EES-TXUtilityWind,500,0.2,1000,62,93,6059.2429999999995,9.622
IA-EUtilityWind,500,0.2,1000,125,187,1226.7510000000002,1.094
IL-CUtilityWind,500,0.2,1000,125,187,789.042,0.893
IN-CUtilityWind,500,0.2,1000,125,187,0.0,0.0
IN-SUtilityWind,500,0.2,1000,62,125,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,62,93,21877.329999999998,19.520999999999997
LA-NUtilityWind,500,0.2,1000,62,93,1037.4030000000002,1.926
MECUtilityWind,500,0.2,1000,125,187,3872.0130000000004,2.3329999999999997
MISO-MOUtilityWind,500,0.2,1000,125,187,1738.0160000000003,1.7160000000000002
MISO-MSUtilityWind,500,0.2,1000,62,93,6459.709000000002,12.095
MN-CUtilityWind,500,0.2,1000,187,250,548.2359999999999,1.173
MN-NEUtilityWind,500,0.2,1000,125,187,35.13,0.226
MN-SEUtilityWind,500,0.2,1000,187,250,1618.92,1.45
NIPSUtilityWind,500,0.2,1000,125,187,2.505,0.025000000000000005
SIPCUtilityWind,500,0.2,1000,125,187,0.17300000000000004,0.009000000000000001
UPPCUtilityWind,500,0.2,1000,187,250,111.16499999999999,1.0550000000000002
