resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
LA-GULFUtilitySolar,100,0.2,1000000,0,25,0.38935700000000095,0.0012430000000000052
LA-NUtilitySolar,100,0.2,1000000,0,25,0.017868999999999947,5.89999999999998e-5
