resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,250,265,26036.409000000003,31.543
ATCUtilitySolar,500,0.2,1000,437,500,1416.5790000000004,1.5239999999999996
CBPC-NIPCOUtilitySolar,500,0.2,1000,437,500,1563.281,3.42
CONSUtilitySolar,500,0.2,1000,437,500,1672.5929999999992,1.4159999999999997
DECOUtilitySolar,500,0.2,1000,437,500,77.19899999999993,0.11700000000000005
EES-ARKUtilitySolar,500,0.2,1000,234,250,632.2020000000001,1.4150000000000003
EES-TXUtilitySolar,500,0.2,1000,187,202,46857.073,87.834
IA-EUtilitySolar,500,0.2,1000,437,500,1153.6150000000002,1.264
IL-CUtilitySolar,500,0.2,1000,437,500,708.4580000000001,0.9970000000000001
IN-CUtilitySolar,500,0.2,1000,437,500,0.07999999999999996,0.001
IN-SUtilitySolar,500,0.2,1000,437,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,140,156,189962.51199999993,174.022
LA-NUtilitySolar,500,0.2,1000,156,171,7209.785999999998,13.237999999999994
MECUtilitySolar,500,0.2,1000,437,500,7801.991999999999,4.762000000000001
MISO-MOUtilitySolar,500,0.2,1000,406,437,3873.225000000001,3.6660000000000004
MISO-MSUtilitySolar,500,0.2,1000,156,171,65732.24399999996,88.759
MN-CUtilitySolar,500,0.2,1000,437,500,1182.57,1.9610000000000003
MN-NEUtilitySolar,500,0.2,1000,437,500,137.82900000000004,0.6199999999999998
MN-SEUtilitySolar,500,0.2,1000,437,500,4755.043,3.0079999999999996
NIPSUtilitySolar,500,0.2,1000,437,500,4.119000000000001,0.03500000000000001
SIPCUtilitySolar,500,0.2,1000,468,500,0.12100000000000002,0.008000000000000002
UPPCUtilitySolar,500,0.2,1000,437,500,273.52699999999993,2.151
