resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,171,187,1.034293509e6,256.665
ATCUtilitySolar,500,0.2,1000,187,218,300012.831,138.516
CBPC-NIPCOUtilitySolar,500,0.2,1000,187,218,146383.832,211.716
CONSUtilitySolar,500,0.2,1000,156,187,590968.3369999999,174.62499999999997
DECOUtilitySolar,500,0.2,1000,156,187,58855.433999999994,53.614000000000004
EES-ARKUtilitySolar,500,0.2,1000,125,140,52774.818,71.97800000000001
EES-TXUtilitySolar,500,0.2,1000,140,156,586896.384,427.4249999999999
IA-EUtilitySolar,500,0.2,1000,187,218,412236.39499999996,181.17
IL-CUtilitySolar,500,0.2,1000,187,218,315523.096,160.14000000000001
IN-CUtilitySolar,500,0.2,1000,156,187,1100.1979999999999,3.067
IN-SUtilitySolar,500,0.2,1000,187,218,0.21599999999999991,0.002000000000000001
LA-GULFUtilitySolar,500,0.2,1000,109,125,1.518559797e6,530.8369999999999
LA-NUtilitySolar,500,0.2,1000,109,125,374370.554,295.79699999999997
MECUtilitySolar,500,0.2,1000,187,218,962831.2580000001,226.73699999999997
MISO-MOUtilitySolar,500,0.2,1000,187,218,543481.5490000001,212.245
MISO-MSUtilitySolar,500,0.2,1000,109,125,634521.5240000001,461.59799999999996
MN-CUtilitySolar,500,0.2,1000,218,234,106279.13100000001,127.03
MN-NEUtilitySolar,500,0.2,1000,187,218,18741.0,69.065
MN-SEUtilitySolar,500,0.2,1000,187,218,537082.099,159.98400000000004
NIPSUtilitySolar,500,0.2,1000,187,218,2457.8909999999996,11.786
SIPCUtilitySolar,500,0.2,1000,156,187,43.54699999999999,2.02
UPPCUtilitySolar,500,0.2,1000,156,187,21556.100999999995,149.385
