resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,0,62,533.658,0.49200000000000005
ATCUtilitySolar,500,0.2,1000,0,62,372.33,0.36500000000000005
CBPC-NIPCOUtilitySolar,500,0.2,1000,0,62,392.24299999999994,0.9729999999999999
CONSUtilitySolar,500,0.2,1000,0,62,383.662,0.269
DECOUtilitySolar,500,0.2,1000,0,62,26.406,0.037000000000000005
EES-ARKUtilitySolar,500,0.2,1000,0,250,7.156999999999998,0.009000000000000001
EES-TXUtilitySolar,500,0.2,1000,0,250,49.913000000000004,0.13100000000000003
IA-EUtilitySolar,500,0.2,1000,0,62,405.331,0.405
IL-CUtilitySolar,500,0.2,1000,0,125,279.9609999999999,0.23900000000000002
IN-CUtilitySolar,500,0.2,1000,0,62,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,62,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,0,250,275.7269999999999,0.313
LA-NUtilitySolar,500,0.2,1000,0,250,7.308000000000002,0.015000000000000001
MECUtilitySolar,500,0.2,1000,0,62,1363.3990000000003,1.0490000000000002
MISO-MOUtilitySolar,500,0.2,1000,0,62,186.015,0.33999999999999997
MISO-MSUtilitySolar,500,0.2,1000,0,250,74.988,0.17200000000000001
MN-CUtilitySolar,500,0.2,1000,0,62,402.178,0.58
MN-NEUtilitySolar,500,0.2,1000,0,62,21.838,0.115
MN-SEUtilitySolar,500,0.2,1000,0,62,405.70099999999996,0.416
NIPSUtilitySolar,500,0.2,1000,0,62,0.37,0.005000000000000002
SIPCUtilitySolar,500,0.2,1000,0,62,0.10800000000000001,0.005
UPPCUtilitySolar,500,0.2,1000,0,62,42.138,0.416
