resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,140,156,2.9765480299999993e6,640.7509999999997
ATCUtilitySolar,500,0.2,1000,140,156,1.729848079e6,479.1830000000001
CBPC-NIPCOUtilitySolar,500,0.2,1000,140,156,432404.401,535.6749999999998
CONSUtilitySolar,500,0.2,1000,140,156,2.6032304379999996e6,542.9480000000001
DECOUtilitySolar,500,0.2,1000,140,156,528399.3790000001,304.374
EES-ARKUtilitySolar,500,0.2,1000,93,109,393905.439,329.43700000000007
EES-TXUtilitySolar,500,0.2,1000,109,125,2.026116096e6,1074.8940000000002
IA-EUtilitySolar,500,0.2,1000,140,156,1.7823619549999998e6,514.5110000000001
IL-CUtilitySolar,500,0.2,1000,140,156,1.595491178e6,515.6179999999998
IN-CUtilitySolar,500,0.2,1000,140,156,41063.14399999999,66.66399999999999
IN-SUtilitySolar,500,0.2,1000,140,156,5.946999999999999,0.048
LA-GULFUtilitySolar,500,0.2,1000,93,109,4.628113873e6,1281.3049999999998
LA-NUtilitySolar,500,0.2,1000,93,109,2.012912445e6,912.0000000000001
MECUtilitySolar,500,0.2,1000,140,156,3.0780021899999995e6,551.1500000000001
MISO-MOUtilitySolar,500,0.2,1000,140,156,2.7385041769999997e6,581.8549999999999
MISO-MSUtilitySolar,500,0.2,1000,93,109,2.0667710369999998e6,1135.6070000000002
MN-CUtilitySolar,500,0.2,1000,156,171,432773.654,389.002
MN-NEUtilitySolar,500,0.2,1000,140,156,115855.87100000001,306.51800000000003
MN-SEUtilitySolar,500,0.2,1000,140,156,2.1792485810000002e6,475.3070000000001
NIPSUtilitySolar,500,0.2,1000,140,156,36122.93699999999,116.76700000000001
SIPCUtilitySolar,500,0.2,1000,125,140,312.048,10.889999999999999
UPPCUtilitySolar,500,0.2,1000,125,140,100928.44200000001,470.4000000000001
