resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,46,62,2.970944718e6,639.493
ATC6hour,500,3000,0.2,1000,0,15,1.730991206e6,478.423
CBPC-NIPCO6hour,500,3000,0.2,1000,0,15,431570.2419999999,534.408
CONS6hour,500,3000,0.2,1000,77,93,2.5961690170000005e6,542.2140000000002
DECO6hour,500,3000,0.2,1000,0,15,533068.5469999998,305.7989999999999
EES-ARK6hour,500,3000,0.2,1000,31,46,394477.54300000006,329.5189999999999
EES-TX6hour,500,3000,0.2,1000,15,31,2.0213357549999997e6,1074.156
IA-E6hour,500,3000,0.2,1000,15,31,1.780042584e6,513.3550000000001
IL-C6hour,500,3000,0.2,1000,15,31,1.5889381099999999e6,514.7400000000001
IN-C6hour,500,3000,0.2,1000,15,31,40630.363000000005,66.17999999999998
IN-S6hour,500,3000,0.2,1000,46,62,7.3210000000000015,0.07
LA-GULF6hour,500,3000,0.2,1000,15,31,4.634612334000002e6,1279.989
LA-N6hour,500,3000,0.2,1000,15,31,2.002318424e6,910.014
MEC6hour,500,3000,0.2,1000,0,15,3.0710683789999993e6,549.8079999999999
MISO-MO6hour,500,3000,0.2,1000,0,15,2.735061653999999e6,580.857
MISO-MS6hour,500,3000,0.2,1000,0,15,2.0632355509999997e6,1133.8740000000003
MN-C6hour,500,3000,0.2,1000,0,15,430939.16599999997,387.54699999999997
MN-NE6hour,500,3000,0.2,1000,0,15,114479.46900000003,304.32800000000003
MN-SE6hour,500,3000,0.2,1000,15,31,2.1644293960000006e6,473.44700000000006
NIPS6hour,500,3000,0.2,1000,62,77,34921.085999999996,114.95499999999998
SIPC6hour,500,3000,0.2,1000,0,15,318.72099999999995,11.666
UPPC6hour,500,3000,0.2,1000,0,15,100470.15099999998,468.902
