resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,140,156,3.17743566e6,693.9920000000001
ATCUtilitySolar,500,0.2,1000,156,171,1.755564727e6,494.25300000000004
CBPC-NIPCOUtilitySolar,500,0.2,1000,156,171,450265.361,559.5109999999999
CONSUtilitySolar,500,0.2,1000,140,156,2.6546064569999995e6,562.9179999999999
DECOUtilitySolar,500,0.2,1000,156,171,540283.799,313.71500000000003
EES-ARKUtilitySolar,500,0.2,1000,93,109,425846.102,357.605
EES-TXUtilitySolar,500,0.2,1000,109,125,2.3009568930000006e6,1318.157
IA-EUtilitySolar,500,0.2,1000,156,171,1.8107162419999999e6,533.778
IL-CUtilitySolar,500,0.2,1000,156,171,1.5720620119999999e6,523.334
IN-CUtilitySolar,500,0.2,1000,156,171,41630.977999999996,67.99300000000001
IN-SUtilitySolar,500,0.2,1000,156,171,1.1340000000000006,0.018000000000000002
LA-GULFUtilitySolar,500,0.2,1000,93,101,5.546561151999999e6,1570.889
LA-NUtilitySolar,500,0.2,1000,93,109,2.237056651e6,1046.2129999999997
MECUtilitySolar,500,0.2,1000,171,187,3.181207703e6,583.124
MISO-MOUtilitySolar,500,0.2,1000,140,156,2.7325471930000004e6,615.4289999999999
MISO-MSUtilitySolar,500,0.2,1000,101,109,2.4260082939999998e6,1392.222
MN-CUtilitySolar,500,0.2,1000,171,187,451557.793,408.094
MN-NEUtilitySolar,500,0.2,1000,156,171,118139.49300000002,314.52500000000003
MN-SEUtilitySolar,500,0.2,1000,156,171,2.278630654e6,504.39300000000003
NIPSUtilitySolar,500,0.2,1000,156,171,36142.524999999994,118.16499999999998
SIPCUtilitySolar,500,0.2,1000,140,156,187.653,7.318999999999999
UPPCUtilitySolar,500,0.2,1000,140,156,93154.692,491.823
