resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,0,15,567976.647,148.075
ATC6hour,500,3000,0.2,1000,0,15,140632.153,75.329
CBPC-NIPCO6hour,500,3000,0.2,1000,0,15,87710.657,135.072
CONS6hour,500,3000,0.2,1000,0,15,251526.687,84.873
DECO6hour,500,3000,0.2,1000,46,62,16716.394,16.416999999999998
EES-ARK6hour,500,3000,0.2,1000,15,31,18510.545000000002,30.193
EES-TX6hour,500,3000,0.2,1000,15,31,321872.17199999996,259.343
IA-E6hour,500,3000,0.2,1000,46,62,257687.05700000003,109.47299999999998
IL-C6hour,500,3000,0.2,1000,0,15,206546.18499999997,98.011
IN-C6hour,500,3000,0.2,1000,0,15,725.131,2.108
IN-S6hour,500,3000,0.2,1000,31,46,0.6190000000000001,0.006000000000000002
LA-GULF6hour,500,3000,0.2,1000,15,31,844300.818,322.029
LA-N6hour,500,3000,0.2,1000,0,15,176491.16899999997,162.338
MEC6hour,500,3000,0.2,1000,0,15,585118.712,139.94300000000004
MISO-MO6hour,500,3000,0.2,1000,0,15,289971.585,121.68900000000001
MISO-MS6hour,500,3000,0.2,1000,15,31,350120.187,275.74
MN-C6hour,500,3000,0.2,1000,0,15,74145.57500000001,96.22800000000001
MN-NE6hour,500,3000,0.2,1000,0,15,10912.895,42.987
MN-SE6hour,500,3000,0.2,1000,46,62,336732.8080000001,117.726
NIPS6hour,500,3000,0.2,1000,0,15,1797.9640000000002,8.631999999999998
SIPC6hour,500,3000,0.2,1000,0,15,9.956000000000001,0.5920000000000001
UPPC6hour,500,3000,0.2,1000,15,31,14105.629,103.28699999999999
