resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,312,343,7208.464999999999,3.9509999999999996
ATCUtilityWind,500,0.2,1000,375,437,535.5980000000001,0.669
CBPC-NIPCOUtilityWind,500,0.2,1000,375,437,631.225,1.5200000000000002
CONSUtilityWind,500,0.2,1000,437,500,800.4430000000001,0.628
DECOUtilityWind,500,0.2,1000,437,500,63.25699999999999,0.105
EES-ARKUtilityWind,500,0.2,1000,125,140,561.0880000000001,0.8459999999999999
EES-TXUtilityWind,500,0.2,1000,125,140,31165.173,41.748000000000005
IA-EUtilityWind,500,0.2,1000,375,437,1027.138,0.8049999999999999
IL-CUtilityWind,500,0.2,1000,375,437,240.901,0.20600000000000002
IN-CUtilityWind,500,0.2,1000,375,437,3.5469999999999997,0.007000000000000002
IN-SUtilityWind,500,0.2,1000,312,375,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,125,140,137905.70799999998,89.155
LA-NUtilityWind,500,0.2,1000,125,140,14516.499999999998,17.494
MECUtilityWind,500,0.2,1000,437,500,4595.28,2.2889999999999997
MISO-MOUtilityWind,500,0.2,1000,312,375,1486.29,1.594
MISO-MSUtilityWind,500,0.2,1000,93,109,40306.246999999996,58.534000000000006
MN-CUtilityWind,500,0.2,1000,437,500,132.82699999999997,0.275
MN-NEUtilityWind,500,0.2,1000,437,500,6.583,0.04100000000000001
MN-SEUtilityWind,500,0.2,1000,437,500,3815.772,1.8319999999999999
NIPSUtilityWind,500,0.2,1000,375,437,1.2380000000000004,0.004
SIPCUtilityWind,500,0.2,1000,312,375,0.111,0.003
UPPCUtilityWind,500,0.2,1000,437,500,45.178999999999995,0.7880000000000001
