resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ2hour,500,1000,0.2,1000,0,31,584942.1610000001,173.01600000000005
ATC2hour,500,1000,0.2,1000,0,31,155298.78500000003,86.65899999999998
CBPC-NIPCO2hour,500,1000,0.2,1000,0,31,138680.52799999996,191.25699999999998
CONS2hour,500,1000,0.2,1000,0,31,330223.47800000006,101.50999999999999
DECO2hour,500,1000,0.2,1000,0,31,25922.044000000005,26.021
EES-ARK2hour,500,1000,0.2,1000,0,15,25684.024999999998,36.78199999999999
EES-TX2hour,500,1000,0.2,1000,0,15,241168.473,171.935
IA-E2hour,500,1000,0.2,1000,0,31,342993.321,140.188
IL-C2hour,500,1000,0.2,1000,0,31,199528.943,104.60799999999998
IN-C2hour,500,1000,0.2,1000,0,31,655.4929999999999,1.861
IN-S2hour,500,1000,0.2,1000,0,31,0.0,0.0
LA-GULF2hour,500,1000,0.2,1000,0,15,636942.8700000002,215.84300000000002
LA-N2hour,500,1000,0.2,1000,0,15,120373.019,103.26200000000001
MEC2hour,500,1000,0.2,1000,0,31,930761.534,204.89600000000004
MISO-MO2hour,500,1000,0.2,1000,0,31,228476.14300000004,130.526
MISO-MS2hour,500,1000,0.2,1000,0,15,274280.73399999994,177.573
MN-C2hour,500,1000,0.2,1000,0,31,101812.21699999999,118.035
MN-NE2hour,500,1000,0.2,1000,0,31,19393.430999999997,69.103
MN-SE2hour,500,1000,0.2,1000,0,31,469384.32200000004,154.09500000000003
NIPS2hour,500,1000,0.2,1000,0,31,1284.7039999999997,6.594999999999999
SIPC2hour,500,1000,0.2,1000,0,15,52.27900000000001,1.8459999999999999
UPPC2hour,500,1000,0.2,1000,0,31,20845.175000000003,124.973
