resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,234,250,25388.249,30.849999999999994
ATCUtilityWind,500,0.2,1000,437,500,1375.2919999999995,1.4839999999999998
CBPC-NIPCOUtilityWind,500,0.2,1000,437,500,1606.47,3.450000000000001
CONSUtilityWind,500,0.2,1000,375,500,1678.0129999999997,1.503
DECOUtilityWind,500,0.2,1000,375,500,50.345000000000006,0.08600000000000003
EES-ARKUtilityWind,500,0.2,1000,156,171,556.3120000000001,1.2990000000000004
EES-TXUtilityWind,500,0.2,1000,109,125,46467.01199999999,86.822
IA-EUtilityWind,500,0.2,1000,437,500,1187.4749999999997,1.309
IL-CUtilityWind,500,0.2,1000,437,500,672.2130000000001,0.9400000000000002
IN-CUtilityWind,500,0.2,1000,375,500,0.08200000000000003,0.0019999999999999983
IN-SUtilityWind,500,0.2,1000,437,500,0.0,0.0
LA-GULFUtilityWind,500,0.2,1000,62,77,189751.87399999995,174.47200000000004
LA-NUtilityWind,500,0.2,1000,77,93,7327.449999999999,12.956000000000001
MECUtilityWind,500,0.2,1000,437,500,7928.021000000002,4.685000000000001
MISO-MOUtilityWind,500,0.2,1000,312,343,3840.492,3.634000000000001
MISO-MSUtilityWind,500,0.2,1000,109,125,66545.75200000001,88.82499999999997
MN-CUtilityWind,500,0.2,1000,437,500,1194.4059999999995,1.966
MN-NEUtilityWind,500,0.2,1000,437,500,126.93900000000002,0.5840000000000002
MN-SEUtilityWind,500,0.2,1000,437,500,4826.992999999999,3.0259999999999985
NIPSUtilityWind,500,0.2,1000,375,500,4.6510000000000025,0.033999999999999996
SIPCUtilityWind,500,0.2,1000,468,500,0.204,0.010999999999999998
UPPCUtilityWind,500,0.2,1000,437,500,269.29,2.157000000000001
