resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,156,171,254521.70400000003,154.28200000000004
ATCUtilitySolar,500,0.2,1000,343,375,37582.49399999999,29.471
CBPC-NIPCOUtilitySolar,500,0.2,1000,312,343,33665.19700000002,57.456
CONSUtilitySolar,500,0.2,1000,343,375,64250.57000000001,31.714
DECOUtilitySolar,500,0.2,1000,343,375,2985.316999999998,4.324999999999998
EES-ARKUtilitySolar,500,0.2,1000,140,156,5413.881999999999,10.949000000000005
EES-TXUtilitySolar,500,0.2,1000,140,156,215234.84299999996,244.32999999999998
IA-EUtilitySolar,500,0.2,1000,343,375,40489.98599999998,31.993000000000006
IL-CUtilitySolar,500,0.2,1000,375,406,16300.305999999995,19.35999999999999
IN-CUtilitySolar,500,0.2,1000,343,375,18.380000000000006,0.06899999999999999
IN-SUtilitySolar,500,0.2,1000,343,375,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,109,125,638545.6369999999,354.4260000000001
LA-NUtilitySolar,500,0.2,1000,109,125,52870.78600000002,76.496
MECUtilitySolar,500,0.2,1000,343,375,241987.02000000008,94.59100000000005
MISO-MOUtilitySolar,500,0.2,1000,218,250,82064.94499999999,50.786
MISO-MSUtilitySolar,500,0.2,1000,125,140,270762.3299999998,267.9250000000002
MN-CUtilitySolar,500,0.2,1000,406,437,11713.277999999998,23.93
MN-NEUtilitySolar,500,0.2,1000,375,406,1350.632,6.213000000000001
MN-SEUtilitySolar,500,0.2,1000,343,375,96080.399,47.34500000000002
NIPSUtilitySolar,500,0.2,1000,343,375,44.41599999999998,0.383
SIPCUtilitySolar,500,0.2,1000,281,312,2.525,0.132
UPPCUtilitySolar,500,0.2,1000,312,343,3056.859,29.885999999999992
