resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,2500,218,250,9809.559200000002,4.737199999999999
ATCUtilitySolar,500,0.2,2500,250,281,614.464,0.8588
CBPC-NIPCOUtilitySolar,500,0.2,2500,250,281,754.7119999999998,1.6611999999999998
CONSUtilitySolar,500,0.2,2500,218,250,1618.6512000000005,1.2700000000000002
DECOUtilitySolar,500,0.2,2500,218,250,73.658,0.1448
EES-ARKUtilitySolar,500,0.2,2500,109,125,386.9891999999999,0.6632000000000001
EES-TXUtilitySolar,500,0.2,2500,125,140,14889.828000000001,20.8404
IA-EUtilitySolar,500,0.2,2500,281,312,1943.6420000000005,1.3856
IL-CUtilitySolar,500,0.2,2500,250,281,776.6164000000001,0.6615999999999999
IN-CUtilitySolar,500,0.2,2500,187,218,0.9176000000000001,0.005600000000000002
IN-SUtilitySolar,500,0.2,2500,218,250,0.0,0.0
LA-GULFUtilitySolar,500,0.2,2500,109,125,57903.26640000001,38.909600000000005
LA-NUtilitySolar,500,0.2,2500,125,140,4909.6548,6.9192
MECUtilitySolar,500,0.2,2500,281,312,4880.757599999999,2.4468
MISO-MOUtilitySolar,500,0.2,2500,250,281,1986.89,2.1536000000000004
MISO-MSUtilitySolar,500,0.2,2500,109,125,17653.0364,26.6596
MN-CUtilitySolar,500,0.2,2500,281,312,195.568,0.4764
MN-NEUtilitySolar,500,0.2,2500,281,312,10.2188,0.0608
MN-SEUtilitySolar,500,0.2,2500,281,312,4278.975200000001,2.1392
NIPSUtilitySolar,500,0.2,2500,218,250,3.302,0.0232
SIPCUtilitySolar,500,0.2,2500,187,218,0.5736000000000001,0.0336
UPPCUtilitySolar,500,0.2,2500,218,250,53.87720000000001,0.8048
