resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ4hour,500,2000,0.2,1000,0,15,3.178583976e6,694.5280000000001
ATC4hour,500,2000,0.2,1000,31,46,1.752765326e6,494.38899999999995
CBPC-NIPCO4hour,500,2000,0.2,1000,0,15,450386.527,559.9920000000001
CONS4hour,500,2000,0.2,1000,0,15,2.6447334169999994e6,562.8359999999998
DECO4hour,500,2000,0.2,1000,0,15,541204.12,313.1910000000001
EES-ARK4hour,500,2000,0.2,1000,0,15,419713.56,356.311
EES-TX4hour,500,2000,0.2,1000,0,15,2.3058050049999994e6,1319.9539999999995
IA-E4hour,500,2000,0.2,1000,0,15,1.812698309e6,534.213
IL-C4hour,500,2000,0.2,1000,0,15,1.5778559119999998e6,523.779
IN-C4hour,500,2000,0.2,1000,0,15,41657.06200000001,67.61800000000001
IN-S4hour,500,2000,0.2,1000,0,15,2.526,0.033999999999999996
LA-GULF4hour,500,2000,0.2,1000,0,15,5.544550255999999e6,1570.077
LA-N4hour,500,2000,0.2,1000,0,15,2.235618571e6,1045.2099999999998
MEC4hour,500,2000,0.2,1000,0,15,3.185996196e6,583.8050000000001
MISO-MO4hour,500,2000,0.2,1000,0,15,2.7388596769999997e6,616.2640000000001
MISO-MS4hour,500,2000,0.2,1000,0,15,2.423330013e6,1391.337
MN-C4hour,500,2000,0.2,1000,0,15,451753.65200000006,408.291
MN-NE4hour,500,2000,0.2,1000,0,15,117639.079,314.25299999999993
MN-SE4hour,500,2000,0.2,1000,0,15,2.283769402e6,505.101
NIPS4hour,500,2000,0.2,1000,0,15,36182.168000000005,118.05600000000001
SIPC4hour,500,2000,0.2,1000,0,15,166.63400000000001,6.638
UPPC4hour,500,2000,0.2,1000,0,15,93165.79200000002,492.5809999999999
