resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ2hour,500,1000,0.2,1000,62,77,257399.944,155.14000000000001
ATC2hour,500,1000,0.2,1000,62,93,36857.74100000001,29.285000000000004
CBPC-NIPCO2hour,500,1000,0.2,1000,93,125,33726.49700000002,57.455999999999975
CONS2hour,500,1000,0.2,1000,93,125,64307.778000000006,31.706999999999994
DECO2hour,500,1000,0.2,1000,0,62,2639.0009999999993,4.275
EES-ARK2hour,500,1000,0.2,1000,15,31,5335.101999999999,11.263000000000002
EES-TX2hour,500,1000,0.2,1000,46,62,216656.26399999997,246.42499999999998
IA-E2hour,500,1000,0.2,1000,62,93,40988.25400000001,32.09000000000002
IL-C2hour,500,1000,0.2,1000,31,62,16429.41,19.554999999999993
IN-C2hour,500,1000,0.2,1000,0,62,9.84,0.04900000000000001
IN-S2hour,500,1000,0.2,1000,62,93,0.0,0.0
LA-GULF2hour,500,1000,0.2,1000,46,62,640223.8189999999,355.32
LA-N2hour,500,1000,0.2,1000,46,62,54661.98799999998,77.568
MEC2hour,500,1000,0.2,1000,93,125,241302.5709999999,94.17100000000003
MISO-MO2hour,500,1000,0.2,1000,93,125,82129.78400000003,50.923999999999985
MISO-MS2hour,500,1000,0.2,1000,46,62,273892.13500000007,270.71700000000016
MN-C2hour,500,1000,0.2,1000,31,62,11787.285999999996,23.930000000000007
MN-NE2hour,500,1000,0.2,1000,0,31,1364.9650000000001,6.109
MN-SE2hour,500,1000,0.2,1000,62,93,95434.16800000003,47.234
NIPS2hour,500,1000,0.2,1000,125,187,53.519000000000005,0.3919999999999999
SIPC2hour,500,1000,0.2,1000,62,93,3.4770000000000008,0.19500000000000003
UPPC2hour,500,1000,0.2,1000,0,31,3024.376,29.814
