resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,187,218,8080.567,4.244
ATCUtilitySolar,500,0.2,1000,312,375,674.505,0.7500000000000002
CBPC-NIPCOUtilitySolar,500,0.2,1000,375,437,703.595,1.622
CONSUtilitySolar,500,0.2,1000,312,375,1036.1160000000002,0.7290000000000001
DECOUtilitySolar,500,0.2,1000,312,375,97.32199999999999,0.15500000000000005
EES-ARKUtilitySolar,500,0.2,1000,77,93,639.835,0.896
EES-TXUtilitySolar,500,0.2,1000,109,125,32110.557,42.228
IA-EUtilitySolar,500,0.2,1000,312,375,1155.0600000000002,0.919
IL-CUtilitySolar,500,0.2,1000,312,375,303.492,0.222
IN-CUtilitySolar,500,0.2,1000,250,312,3.719000000000001,0.01
IN-SUtilitySolar,500,0.2,1000,312,375,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,93,109,138848.27099999998,89.186
LA-NUtilitySolar,500,0.2,1000,93,109,14899.050000000001,17.704000000000004
MECUtilitySolar,500,0.2,1000,375,437,5000.298,2.3900000000000006
MISO-MOUtilitySolar,500,0.2,1000,250,312,1753.3329999999999,1.7999999999999998
MISO-MSUtilitySolar,500,0.2,1000,93,109,40972.60999999999,58.67
MN-CUtilitySolar,500,0.2,1000,375,437,162.72100000000003,0.364
MN-NEUtilitySolar,500,0.2,1000,375,437,9.716,0.063
MN-SEUtilitySolar,500,0.2,1000,375,437,4094.3430000000003,1.9209999999999998
NIPSUtilitySolar,500,0.2,1000,312,375,2.499,0.008
SIPCUtilitySolar,500,0.2,1000,250,312,0.09600000000000003,0.003999999999999999
UPPCUtilitySolar,500,0.2,1000,250,312,55.17,0.8730000000000001
