resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,0,62,616.8719999999998,0.583
ATCUtilitySolar,500,0.2,1000,0,62,65.28200000000001,0.052000000000000005
CBPC-NIPCOUtilitySolar,500,0.2,1000,0,62,130.65499999999997,0.43800000000000006
CONSUtilitySolar,500,0.2,1000,0,62,26.934,0.03200000000000001
DECOUtilitySolar,500,0.2,1000,0,62,1.5799999999999998,0.0030000000000000005
EES-ARKUtilitySolar,500,0.2,1000,0,62,3.127,0.008
EES-TXUtilitySolar,500,0.2,1000,0,62,525.3639999999999,1.2000000000000002
IA-EUtilitySolar,500,0.2,1000,0,62,69.099,0.07500000000000002
IL-CUtilitySolar,500,0.2,1000,0,62,5.56,0.012000000000000002
IN-CUtilitySolar,500,0.2,1000,0,62,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,62,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,0,62,1519.9839999999997,1.9920000000000002
LA-NUtilitySolar,500,0.2,1000,0,62,43.33,0.10499999999999998
MECUtilitySolar,500,0.2,1000,0,62,1003.98,0.894
MISO-MOUtilitySolar,500,0.2,1000,0,62,117.876,0.16299999999999998
MISO-MSUtilitySolar,500,0.2,1000,0,62,329.579,0.8250000000000001
MN-CUtilitySolar,500,0.2,1000,0,62,36.61600000000001,0.076
MN-NEUtilitySolar,500,0.2,1000,0,62,0.5680000000000003,0.004
MN-SEUtilitySolar,500,0.2,1000,0,62,91.97500000000001,0.10100000000000003
NIPSUtilitySolar,500,0.2,1000,0,62,0.1630000000000001,0.0010000000000000005
SIPCUtilitySolar,500,0.2,1000,0,62,0.012000000000000004,0.002
UPPCUtilitySolar,500,0.2,1000,0,62,6.472000000000001,0.073
