resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,187,250,8986.331,4.498
ATCUtilitySolar,500,0.2,1000,187,250,550.0419999999998,0.7939999999999998
CBPC-NIPCOUtilitySolar,500,0.2,1000,187,250,796.2119999999999,1.7450000000000006
CONSUtilitySolar,500,0.2,1000,187,218,1664.0200000000002,1.3230000000000002
DECOUtilitySolar,500,0.2,1000,187,218,75.22700000000002,0.14800000000000005
EES-ARKUtilitySolar,500,0.2,1000,93,125,349.171,0.6529999999999999
EES-TXUtilitySolar,500,0.2,1000,125,156,12189.964,13.25
IA-EUtilitySolar,500,0.2,1000,187,250,1955.5760000000002,1.4330000000000003
IL-CUtilitySolar,500,0.2,1000,187,250,820.233,0.678
IN-CUtilitySolar,500,0.2,1000,125,187,0.15899999999999995,0.0019999999999999996
IN-SUtilitySolar,500,0.2,1000,187,218,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,125,156,36595.461,24.573999999999998
LA-NUtilitySolar,500,0.2,1000,125,156,3866.562000000001,5.120000000000001
MECUtilitySolar,500,0.2,1000,187,250,4676.518000000001,2.418999999999999
MISO-MOUtilitySolar,500,0.2,1000,218,250,1799.6630000000002,1.9909999999999999
MISO-MSUtilitySolar,500,0.2,1000,125,156,11617.099999999999,16.073000000000004
MN-CUtilitySolar,500,0.2,1000,187,250,205.119,0.49300000000000005
MN-NEUtilitySolar,500,0.2,1000,187,250,10.106999999999998,0.063
MN-SEUtilitySolar,500,0.2,1000,187,250,4085.7570000000005,2.089
NIPSUtilitySolar,500,0.2,1000,187,250,10.297,0.047000000000000014
SIPCUtilitySolar,500,0.2,1000,125,187,0.19200000000000003,0.016
UPPCUtilitySolar,500,0.2,1000,125,187,48.017,0.779
