resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,171,187,742216.6500000001,298.197
ATCUtilitySolar,500,0.2,1000,250,281,125885.849,66.56700000000001
CBPC-NIPCOUtilitySolar,500,0.2,1000,250,281,74370.04900000001,114.057
CONSUtilitySolar,500,0.2,1000,250,281,187675.66599999997,63.825
DECOUtilitySolar,500,0.2,1000,281,312,14672.864000000001,13.854
EES-ARKUtilitySolar,500,0.2,1000,140,156,31914.052,53.23800000000001
EES-TXUtilitySolar,500,0.2,1000,125,140,571243.985,479.725
IA-EUtilitySolar,500,0.2,1000,250,281,190258.28599999996,90.06700000000001
IL-CUtilitySolar,500,0.2,1000,281,312,120857.812,63.522
IN-CUtilitySolar,500,0.2,1000,281,312,640.6840000000001,1.816
IN-SUtilitySolar,500,0.2,1000,250,281,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,109,125,1.5947076739999999e6,669.7620000000001
LA-NUtilitySolar,500,0.2,1000,109,125,253156.78000000003,238.44199999999998
MECUtilitySolar,500,0.2,1000,250,281,535783.4859999998,147.545
MISO-MOUtilitySolar,500,0.2,1000,218,250,279030.47400000005,126.981
MISO-MSUtilitySolar,500,0.2,1000,109,125,670725.3479999999,464.97400000000005
MN-CUtilitySolar,500,0.2,1000,281,312,62298.732,79.396
MN-NEUtilitySolar,500,0.2,1000,250,281,9245.905999999999,34.98499999999999
MN-SEUtilitySolar,500,0.2,1000,250,281,300597.73600000003,105.516
NIPSUtilitySolar,500,0.2,1000,250,281,1493.2389999999996,6.172999999999999
SIPCUtilitySolar,500,0.2,1000,250,281,6.1850000000000005,0.3419999999999999
UPPCUtilitySolar,500,0.2,1000,250,281,11786.012999999999,84.40099999999998
