resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,93,125,11879.383,6.056000000000001
ATC6hour,500,3000,0.2,1000,187,250,772.084,0.92
CBPC-NIPCO6hour,500,3000,0.2,1000,125,187,834.199,2.5499999999999994
CONS6hour,500,3000,0.2,1000,0,62,1503.702,1.075
DECO6hour,500,3000,0.2,1000,62,125,127.49099999999999,0.19400000000000003
EES-ARK6hour,500,3000,0.2,1000,31,46,686.7819999999998,1.1560000000000001
EES-TX6hour,500,3000,0.2,1000,31,46,38175.255,46.215
IA-E6hour,500,3000,0.2,1000,187,250,860.168,0.8140000000000001
IL-C6hour,500,3000,0.2,1000,0,62,332.388,0.21600000000000005
IN-C6hour,500,3000,0.2,1000,250,312,8.252999999999998,0.022
IN-S6hour,500,3000,0.2,1000,0,62,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,15,31,152224.889,89.75
LA-N6hour,500,3000,0.2,1000,31,46,18453.118,19.456
MEC6hour,500,3000,0.2,1000,0,62,7192.614000000001,4.248000000000001
MISO-MO6hour,500,3000,0.2,1000,0,62,2120.049,2.434
MISO-MS6hour,500,3000,0.2,1000,0,15,39545.527,52.983
MN-C6hour,500,3000,0.2,1000,0,62,142.73399999999998,0.34199999999999997
MN-NE6hour,500,3000,0.2,1000,125,187,9.209000000000001,0.064
MN-SE6hour,500,3000,0.2,1000,62,125,5712.05,2.869999999999999
NIPS6hour,500,3000,0.2,1000,187,250,1.5429999999999997,0.007
SIPC6hour,500,3000,0.2,1000,187,250,0.543,0.02
UPPC6hour,500,3000,0.2,1000,0,62,56.023,0.958
