resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,187,250,8204.594,3.834
ATCUtilitySolar,500,0.2,1000,187,250,412.41299999999995,0.563
CBPC-NIPCOUtilitySolar,500,0.2,1000,250,312,853.228,2.205
CONSUtilitySolar,500,0.2,1000,187,250,1073.572,0.922
DECOUtilitySolar,500,0.2,1000,187,250,37.02100000000001,0.07100000000000002
EES-ARKUtilitySolar,500,0.2,1000,125,156,61.653,0.15000000000000002
EES-TXUtilitySolar,500,0.2,1000,156,187,5814.689,9.291000000000002
IA-EUtilitySolar,500,0.2,1000,250,312,1408.485,1.1880000000000002
IL-CUtilitySolar,500,0.2,1000,187,250,882.0279999999999,0.923
IN-CUtilitySolar,500,0.2,1000,187,250,0.18500000000000003,0.002
IN-SUtilitySolar,500,0.2,1000,187,250,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,125,156,21302.401,19.205
LA-NUtilitySolar,500,0.2,1000,125,156,906.664,1.6440000000000001
MECUtilitySolar,500,0.2,1000,250,312,3949.877,2.3419999999999996
MISO-MOUtilitySolar,500,0.2,1000,187,250,1631.5679999999998,1.6680000000000001
MISO-MSUtilitySolar,500,0.2,1000,125,156,5930.584999999999,11.616000000000001
MN-CUtilitySolar,500,0.2,1000,250,312,598.956,1.228
MN-NEUtilitySolar,500,0.2,1000,250,312,34.854,0.21700000000000003
MN-SEUtilitySolar,500,0.2,1000,250,312,1807.6290000000001,1.533
NIPSUtilitySolar,500,0.2,1000,187,250,4.7490000000000006,0.027000000000000003
SIPCUtilitySolar,500,0.2,1000,187,250,0.145,0.009
UPPCUtilitySolar,500,0.2,1000,187,250,117.418,1.0969999999999998
