resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
LA-GULF6hour,100,600,0.2,1000000,93,100,0.7957179999999976,0.005229
LA-N6hour,100,600,0.2,1000000,93,100,0.012847000000000003,4.499999999999968e-5
