resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,140,156,3.2637222050000005e6,749.041
ATCUtilitySolar,500,0.2,1000,202,218,1.6439211970000002e6,453.9289999999999
CBPC-NIPCOUtilitySolar,500,0.2,1000,202,218,395483.1260000001,488.16
CONSUtilitySolar,500,0.2,1000,202,218,2.4727629130000006e6,512.04
DECOUtilitySolar,500,0.2,1000,202,218,517836.336,297.524
EES-ARKUtilitySolar,500,0.2,1000,101,109,470428.90699999995,410.00399999999996
EES-TXUtilitySolar,500,0.2,1000,101,109,2.640104606e6,1553.648
IA-EUtilitySolar,500,0.2,1000,202,218,1.6266956719999998e6,473.20200000000006
IL-CUtilitySolar,500,0.2,1000,202,218,1.442774298e6,470.2969999999999
IN-CUtilitySolar,500,0.2,1000,202,218,39376.19700000001,65.812
IN-SUtilitySolar,500,0.2,1000,187,202,5.313000000000001,0.05500000000000001
LA-GULFUtilitySolar,500,0.2,1000,93,101,6.413428026999999e6,1826.635
LA-NUtilitySolar,500,0.2,1000,101,109,2.307730015e6,1106.051
MECUtilitySolar,500,0.2,1000,218,234,2.8835618530000006e6,519.449
MISO-MOUtilitySolar,500,0.2,1000,171,187,2.590782118e6,571.65
MISO-MSUtilitySolar,500,0.2,1000,93,101,2.817099858e6,1599.2609999999997
MN-CUtilitySolar,500,0.2,1000,218,234,394452.22199999995,351.166
MN-NEUtilitySolar,500,0.2,1000,218,234,107357.62199999999,282.88700000000006
MN-SEUtilitySolar,500,0.2,1000,202,218,1.996176479e6,434.627
NIPSUtilitySolar,500,0.2,1000,202,218,33687.9,110.54199999999999
SIPCUtilitySolar,500,0.2,1000,187,202,161.673,6.184999999999999
UPPCUtilitySolar,500,0.2,1000,187,202,84054.69499999999,430.24199999999996
