resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,1000,296,312,3.2730162e6,749.9870000000001
ATCUtilityWind,500,0.2,1000,390,406,1.6442822279999997e6,454.137
CBPC-NIPCOUtilityWind,500,0.2,1000,375,390,395836.24399999995,488.66799999999995
CONSUtilityWind,500,0.2,1000,421,437,2.465891541e6,512.1129999999999
DECOUtilityWind,500,0.2,1000,327,343,518432.0620000001,297.958
EES-ARKUtilityWind,500,0.2,1000,187,194,472830.105,411.023
EES-TXUtilityWind,500,0.2,1000,163,171,2.644988833e6,1554.8669999999997
IA-EUtilityWind,500,0.2,1000,390,406,1.62565901e6,473.459
IL-CUtilityWind,500,0.2,1000,359,375,1.4456808449999997e6,470.7439999999999
IN-CUtilityWind,500,0.2,1000,296,312,40165.617,66.08300000000001
IN-SUtilityWind,500,0.2,1000,312,327,6.914999999999999,0.05100000000000001
LA-GULFUtilityWind,500,0.2,1000,140,148,6.414679689e6,1828.717
LA-NUtilityWind,500,0.2,1000,171,179,2.3223293469999996e6,1108.2989999999998
MECUtilityWind,500,0.2,1000,390,406,2.883731906999999e6,519.805
MISO-MOUtilityWind,500,0.2,1000,296,312,2.6042899280000003e6,572.6790000000002
MISO-MSUtilityWind,500,0.2,1000,117,125,2.8080483700000006e6,1601.0219999999997
MN-CUtilityWind,500,0.2,1000,406,421,394786.7589999999,351.49800000000005
MN-NEUtilityWind,500,0.2,1000,406,421,107200.956,282.57399999999996
MN-SEUtilityWind,500,0.2,1000,406,421,1.996154011e6,434.927
NIPSUtilityWind,500,0.2,1000,343,359,33568.35599999999,109.63799999999998
SIPCUtilityWind,500,0.2,1000,343,359,156.17300000000003,6.117000000000002
UPPCUtilityWind,500,0.2,1000,452,468,84085.16,430.4920000000001
