resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,0,62,250.80999999999997,0.36099999999999993
ATCUtilitySolar,500,0.2,1000,0,62,0.7390000000000003,0.0020000000000000005
CBPC-NIPCOUtilitySolar,500,0.2,1000,0,62,408.3520000000001,0.9430000000000001
CONSUtilitySolar,500,0.2,1000,0,62,1.2220000000000002,0.006000000000000001
DECOUtilitySolar,500,0.2,1000,0,62,0.0,0.0
EES-ARKUtilitySolar,500,0.2,1000,0,62,0.2059999999999999,0.0010000000000000005
EES-TXUtilitySolar,500,0.2,1000,0,62,427.23299999999995,0.9990000000000002
IA-EUtilitySolar,500,0.2,1000,0,62,4.918,0.019
IL-CUtilitySolar,500,0.2,1000,0,62,0.27799999999999997,0.002
IN-CUtilitySolar,500,0.2,1000,0,62,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,0,62,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,0,62,1070.1680000000003,1.574
LA-NUtilitySolar,500,0.2,1000,0,62,28.685000000000002,0.06899999999999999
MECUtilitySolar,500,0.2,1000,0,62,1278.344,1.258
MISO-MOUtilitySolar,500,0.2,1000,0,62,9.463000000000001,0.04600000000000001
MISO-MSUtilitySolar,500,0.2,1000,0,62,263.45699999999994,0.747
MN-CUtilitySolar,500,0.2,1000,62,125,36.601,0.14900000000000002
MN-NEUtilitySolar,500,0.2,1000,0,62,0.24599999999999997,0.002000000000000001
MN-SEUtilitySolar,500,0.2,1000,0,62,155.091,0.19300000000000003
NIPSUtilitySolar,500,0.2,1000,0,62,0.0,0.0
SIPCUtilitySolar,500,0.2,1000,0,62,0.010000000000000002,0.0020000000000000005
UPPCUtilitySolar,500,0.2,1000,0,62,1.537,0.029000000000000005
