resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,93,101,2.6066948470000005e6,1401.1999999999996
ATCUtilitySolar,500,0.2,1000,437,468,151514.974,80.317
CBPC-NIPCOUtilitySolar,500,0.2,1000,93,101,290051.471,478.85300000000007
CONSUtilitySolar,500,0.2,1000,437,500,147361.865,64.575
DECOUtilitySolar,500,0.2,1000,375,500,12965.889,11.649999999999999
EES-ARKUtilitySolar,500,0.2,1000,281,312,28607.051000000003,37.908
EES-TXUtilitySolar,500,0.2,1000,140,156,383352.026,445.192
IA-EUtilitySolar,500,0.2,1000,171,187,410718.644,307.3449999999999
IL-CUtilitySolar,500,0.2,1000,468,500,55637.50800000001,51.414
IN-CUtilitySolar,500,0.2,1000,375,500,162.98199999999997,0.4509999999999999
IN-SUtilitySolar,500,0.2,1000,375,500,0.10999999999999995,0.0009999999999999998
LA-GULFUtilitySolar,500,0.2,1000,62,69,2.3974895110000004e6,1713.7390000000003
LA-NUtilitySolar,500,0.2,1000,218,234,123083.57499999998,108.56000000000002
MECUtilitySolar,500,0.2,1000,93,101,3.245018719000001e6,1247.5419999999997
MISO-MOUtilitySolar,500,0.2,1000,156,171,1.025540944e6,529.676
MISO-MSUtilitySolar,500,0.2,1000,117,125,690104.3339999999,709.2879999999999
MN-CUtilitySolar,500,0.2,1000,202,218,106055.709,175.25500000000002
MN-NEUtilitySolar,500,0.2,1000,234,250,17482.895,69.29499999999999
MN-SEUtilitySolar,500,0.2,1000,187,202,1.014911365e6,407.633
NIPSUtilitySolar,500,0.2,1000,375,500,289.104,1.2100000000000002
SIPCUtilitySolar,500,0.2,1000,296,312,3.857,0.07100000000000001
UPPCUtilitySolar,500,0.2,1000,202,218,16411.567,90.398
