resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
LA-GULFUtilitySolar,100,0.2,100000,0,12,10.805640000000002,0.028940000000000035
LA-NUtilitySolar,100,0.2,100000,0,25,0.08195000000000002,0.00040999999999999956
