resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,187,202,62871.62399999999,73.444
ATCUtilitySolar,500,0.2,1000,375,500,1720.5980000000002,1.6960000000000008
CBPC-NIPCOUtilitySolar,500,0.2,1000,437,500,1091.8799999999997,2.767999999999999
CONSUtilitySolar,500,0.2,1000,375,500,4009.641000000001,2.5359999999999987
DECOUtilitySolar,500,0.2,1000,375,500,243.97100000000003,0.397
EES-ARKUtilitySolar,500,0.2,1000,156,171,2296.233000000001,4.324999999999999
EES-TXUtilitySolar,500,0.2,1000,140,156,87233.27799999999,125.40499999999996
IA-EUtilitySolar,500,0.2,1000,375,500,728.2429999999997,0.9140000000000001
IL-CUtilitySolar,500,0.2,1000,375,500,1123.8170000000002,1.2810000000000004
IN-CUtilitySolar,500,0.2,1000,375,500,3.1799999999999997,0.009
IN-SUtilitySolar,500,0.2,1000,375,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,109,125,310171.3750000001,217.90599999999998
LA-NUtilitySolar,500,0.2,1000,125,140,19616.473999999995,27.247000000000003
MECUtilitySolar,500,0.2,1000,437,500,11668.709,7.891999999999995
MISO-MOUtilitySolar,500,0.2,1000,281,312,6998.439000000001,6.895
MISO-MSUtilitySolar,500,0.2,1000,125,140,111253.304,132.27800000000002
MN-CUtilitySolar,500,0.2,1000,375,500,278.7359999999999,0.6220000000000003
MN-NEUtilitySolar,500,0.2,1000,375,500,102.35499999999998,0.4749999999999999
MN-SEUtilitySolar,500,0.2,1000,375,500,5291.062999999999,2.3800000000000003
NIPSUtilitySolar,500,0.2,1000,375,500,4.946,0.043000000000000003
SIPCUtilitySolar,500,0.2,1000,437,468,0.10299999999999995,0.006
UPPCUtilitySolar,500,0.2,1000,375,500,201.77,1.7770000000000001
