resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,187,250,3371.2509999999997,2.088
ATCUtilitySolar,500,0.2,1000,125,187,232.39500000000007,0.3410000000000001
CBPC-NIPCOUtilitySolar,500,0.2,1000,187,250,1251.0169999999998,2.8689999999999998
CONSUtilitySolar,500,0.2,1000,125,187,450.49,0.392
DECOUtilitySolar,500,0.2,1000,125,187,22.814999999999998,0.034999999999999996
EES-ARKUtilitySolar,500,0.2,1000,125,187,71.075,0.137
EES-TXUtilitySolar,500,0.2,1000,125,187,2361.752,3.454
IA-EUtilitySolar,500,0.2,1000,187,250,910.5969999999999,0.8149999999999998
IL-CUtilitySolar,500,0.2,1000,187,250,326.515,0.389
IN-CUtilitySolar,500,0.2,1000,125,187,0.0,0.0
IN-SUtilitySolar,500,0.2,1000,125,187,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,125,187,7780.898999999999,6.030000000000001
LA-NUtilitySolar,500,0.2,1000,125,187,408.62600000000003,0.6700000000000002
MECUtilitySolar,500,0.2,1000,187,250,5683.245,2.975
MISO-MOUtilitySolar,500,0.2,1000,187,250,387.4429999999999,0.718
MISO-MSUtilitySolar,500,0.2,1000,125,187,1967.8880000000001,3.4299999999999997
MN-CUtilitySolar,500,0.2,1000,187,250,751.339,1.2510000000000001
MN-NEUtilitySolar,500,0.2,1000,187,250,54.632999999999996,0.27
MN-SEUtilitySolar,500,0.2,1000,187,250,1448.5800000000002,1.4400000000000004
NIPSUtilitySolar,500,0.2,1000,125,187,0.394,0.001999999999999999
SIPCUtilitySolar,500,0.2,1000,125,187,0.13699999999999998,0.012000000000000004
UPPCUtilitySolar,500,0.2,1000,125,187,63.828,0.916
