resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,140,156,3.538440139e6,797.3549999999999
ATCUtilitySolar,500,0.2,1000,156,171,1.871895959e6,544.351
CBPC-NIPCOUtilitySolar,500,0.2,1000,156,171,517748.26999999996,657.708
CONSUtilitySolar,500,0.2,1000,140,156,2.826432785e6,619.5939999999999
DECOUtilitySolar,500,0.2,1000,156,171,557626.381,327.785
EES-ARKUtilitySolar,500,0.2,1000,101,109,473221.62800000014,402.868
EES-TXUtilitySolar,500,0.2,1000,109,117,2.4720234e6,1439.9809999999998
IA-EUtilitySolar,500,0.2,1000,156,171,2.008446363e6,615.254
IL-CUtilitySolar,500,0.2,1000,156,171,1.682630441e6,583.524
IN-CUtilitySolar,500,0.2,1000,156,171,43440.636,71.32000000000001
IN-SUtilitySolar,500,0.2,1000,156,171,5.1419999999999995,0.061
LA-GULFUtilitySolar,500,0.2,1000,93,101,6.002464704999999e6,1729.1139999999998
LA-NUtilitySolar,500,0.2,1000,101,109,2.3397501420000005e6,1121.993
MECUtilitySolar,500,0.2,1000,156,171,3.594799877e6,684.807
MISO-MOUtilitySolar,500,0.2,1000,140,156,2.9471294560000002e6,700.026
MISO-MSUtilitySolar,500,0.2,1000,101,109,2.605959757e6,1522.4170000000001
MN-CUtilitySolar,500,0.2,1000,171,187,520958.66200000007,478.88100000000003
MN-NEUtilitySolar,500,0.2,1000,171,187,130477.526,345.796
MN-SEUtilitySolar,500,0.2,1000,156,171,2.615215323e6,598.519
NIPSUtilitySolar,500,0.2,1000,140,156,37558.377,125.376
SIPCUtilitySolar,500,0.2,1000,140,156,173.584,7.026
UPPCUtilitySolar,500,0.2,1000,140,156,103963.17799999999,566.0829999999999
