resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,125,156,524089.553,131.76699999999997
ATCUtilitySolar,500,0.2,1000,125,156,151295.45500000002,69.33999999999999
CBPC-NIPCOUtilitySolar,500,0.2,1000,125,156,72375.02900000001,104.92200000000001
CONSUtilitySolar,500,0.2,1000,125,156,313238.6279999999,93.325
DECOUtilitySolar,500,0.2,1000,125,156,36112.793999999994,29.395999999999994
EES-ARKUtilitySolar,500,0.2,1000,93,109,30896.115999999998,40.656
EES-TXUtilitySolar,500,0.2,1000,109,125,318388.1479999999,197.981
IA-EUtilitySolar,500,0.2,1000,125,156,221669.91300000003,94.055
IL-CUtilitySolar,500,0.2,1000,125,156,194805.297,86.506
IN-CUtilitySolar,500,0.2,1000,125,156,608.535,1.8599999999999999
IN-SUtilitySolar,500,0.2,1000,125,156,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,93,109,700536.7880000002,244.71999999999997
LA-NUtilitySolar,500,0.2,1000,93,109,182298.19700000001,140.70900000000003
MECUtilitySolar,500,0.2,1000,125,156,440570.15700000006,108.375
MISO-MOUtilitySolar,500,0.2,1000,125,156,318120.663,111.16100000000003
MISO-MSUtilitySolar,500,0.2,1000,93,109,300857.7,207.96800000000002
MN-CUtilitySolar,500,0.2,1000,125,156,50193.57199999999,64.39
MN-NEUtilitySolar,500,0.2,1000,125,156,7034.372,27.335
MN-SEUtilitySolar,500,0.2,1000,125,156,231075.31099999996,77.903
NIPSUtilitySolar,500,0.2,1000,125,156,1269.049,6.052999999999999
SIPCUtilitySolar,500,0.2,1000,93,125,49.479,1.4749999999999999
UPPCUtilitySolar,500,0.2,1000,93,125,10509.01,72.20200000000001
