resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ2hour,500,1000,0.2,1000,437,500,284.594,0.38299999999999995
ATC2hour,500,1000,0.2,1000,437,500,0.24900000000000003,0.0009999999999999998
CBPC-NIPCO2hour,500,1000,0.2,1000,437,500,446.53,0.998
CONS2hour,500,1000,0.2,1000,437,500,3.2649999999999997,0.008000000000000002
DECO2hour,500,1000,0.2,1000,375,437,0.0,0.0
EES-ARK2hour,500,1000,0.2,1000,437,468,4.055000000000001,0.009
EES-TX2hour,500,1000,0.2,1000,375,437,456.96099999999996,1.036
IA-E2hour,500,1000,0.2,1000,312,375,8.472000000000001,0.023000000000000003
IL-C2hour,500,1000,0.2,1000,437,500,0.631,0.003000000000000001
IN-C2hour,500,1000,0.2,1000,437,500,0.0,0.0
IN-S2hour,500,1000,0.2,1000,437,500,0.0,0.0
LA-GULF2hour,500,1000,0.2,1000,312,375,1103.5380000000002,1.6150000000000002
LA-N2hour,500,1000,0.2,1000,437,500,28.36600000000001,0.081
MEC2hour,500,1000,0.2,1000,437,500,1306.622,1.3269999999999997
MISO-MO2hour,500,1000,0.2,1000,437,500,14.325,0.06900000000000002
MISO-MS2hour,500,1000,0.2,1000,375,437,264.34000000000003,0.7659999999999999
MN-C2hour,500,1000,0.2,1000,375,437,39.616,0.14800000000000002
MN-NE2hour,500,1000,0.2,1000,312,375,1.0070000000000001,0.008999999999999998
MN-SE2hour,500,1000,0.2,1000,312,375,133.212,0.179
NIPS2hour,500,1000,0.2,1000,437,500,0.0,0.0
SIPC2hour,500,1000,0.2,1000,437,500,0.004,0.002
UPPC2hour,500,1000,0.2,1000,437,500,1.098,0.024000000000000004
