resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,109,125,585816.439,172.90500000000003
ATCUtilitySolar,500,0.2,1000,93,125,155323.89400000003,86.84400000000002
CBPC-NIPCOUtilitySolar,500,0.2,1000,109,125,138668.34999999995,191.255
CONSUtilitySolar,500,0.2,1000,93,109,329740.84099999996,101.833
DECOUtilitySolar,500,0.2,1000,109,125,26688.695000000007,26.299000000000003
EES-ARKUtilitySolar,500,0.2,1000,93,109,25734.413999999997,36.678999999999995
EES-TXUtilitySolar,500,0.2,1000,109,125,241161.71600000001,172.64600000000002
IA-EUtilitySolar,500,0.2,1000,93,125,343433.781,140.16400000000002
IL-CUtilitySolar,500,0.2,1000,109,125,201216.51700000002,104.804
IN-CUtilitySolar,500,0.2,1000,93,125,637.1520000000002,1.7830000000000001
IN-SUtilitySolar,500,0.2,1000,109,125,0.16800000000000004,0.003000000000000001
LA-GULFUtilitySolar,500,0.2,1000,93,109,637724.968,216.358
LA-NUtilitySolar,500,0.2,1000,93,109,123292.886,104.69599999999998
MECUtilitySolar,500,0.2,1000,125,156,930375.6599999998,204.60200000000003
MISO-MOUtilitySolar,500,0.2,1000,109,125,229425.381,130.44600000000003
MISO-MSUtilitySolar,500,0.2,1000,93,109,273645.99700000003,178.309
MN-CUtilitySolar,500,0.2,1000,125,156,100376.33,117.831
MN-NEUtilitySolar,500,0.2,1000,109,125,18957.797000000002,67.90100000000001
MN-SEUtilitySolar,500,0.2,1000,109,125,469501.83599999995,154.13200000000003
NIPSUtilitySolar,500,0.2,1000,109,125,1227.436,6.196000000000001
SIPCUtilitySolar,500,0.2,1000,93,109,45.03100000000001,1.53
UPPCUtilitySolar,500,0.2,1000,93,125,20770.837,124.87500000000001
