resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,1000,156,187,669773.7369999998,162.251
ATCUtilitySolar,500,0.2,1000,156,187,196474.829,89.05699999999999
CBPC-NIPCOUtilitySolar,500,0.2,1000,156,187,85878.71200000001,124.206
CONSUtilitySolar,500,0.2,1000,156,187,385424.69899999996,112.638
DECOUtilitySolar,500,0.2,1000,156,187,42283.71399999999,36.461999999999996
EES-ARKUtilitySolar,500,0.2,1000,109,125,39186.061,51.745
EES-TXUtilitySolar,500,0.2,1000,125,140,434595.158,320.65
IA-EUtilitySolar,500,0.2,1000,156,187,257832.954,108.907
IL-CUtilitySolar,500,0.2,1000,156,187,221133.61,98.846
IN-CUtilitySolar,500,0.2,1000,156,187,913.4409999999999,2.5220000000000002
IN-SUtilitySolar,500,0.2,1000,156,187,0.0,0.0
LA-GULFUtilitySolar,500,0.2,1000,93,109,1.1375413269999998e6,402.03399999999993
LA-NUtilitySolar,500,0.2,1000,109,125,288104.844,224.51000000000002
MECUtilitySolar,500,0.2,1000,156,187,542521.241,136.097
MISO-MOUtilitySolar,500,0.2,1000,156,187,378586.806,136.49499999999998
MISO-MSUtilitySolar,500,0.2,1000,93,109,477959.0610000001,346.666
MN-CUtilitySolar,500,0.2,1000,187,218,61646.697,76.218
MN-NEUtilitySolar,500,0.2,1000,156,187,9017.125000000002,34.918
MN-SEUtilitySolar,500,0.2,1000,156,187,306335.543,93.28500000000001
NIPSUtilitySolar,500,0.2,1000,156,187,1858.3180000000002,8.516000000000002
SIPCUtilitySolar,500,0.2,1000,125,156,29.922,1.287
UPPCUtilitySolar,500,0.2,1000,156,187,12773.828000000001,88.57299999999998
