resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,42,46,9.461298099600002e6,3702.8903999999998
ATC6hour,500,3000,0.2,2500,171,187,1.3999761112e6,406.80839999999995
CBPC-NIPCO6hour,500,3000,0.2,2500,77,93,336380.87399999995,452.8332
CONS6hour,500,3000,0.2,2500,156,171,1.7051503192e6,474.0756
DECO6hour,500,3000,0.2,2500,218,234,331847.84,181.60160000000005
EES-ARK6hour,500,3000,0.2,2500,46,54,719267.7688000001,682.0844000000001
EES-TX6hour,500,3000,0.2,2500,38,42,4.202894042800002e6,3004.734
IA-E6hour,500,3000,0.2,2500,140,156,1.2236509500000004e6,427.61240000000004
IL-C6hour,500,3000,0.2,2500,218,234,814761.6144000001,328.54440000000005
IN-C6hour,500,3000,0.2,2500,187,202,20271.139600000006,34.231199999999994
IN-S6hour,500,3000,0.2,2500,156,171,4.8912,0.04920000000000001
LA-GULF6hour,500,3000,0.2,2500,23,27,1.299502316e7,5510.4439999999995
LA-N6hour,500,3000,0.2,2500,31,38,2.8032318424000004e6,1545.2856000000004
MEC6hour,500,3000,0.2,2500,93,109,3.1306052056000005e6,714.5392
MISO-MO6hour,500,3000,0.2,2500,46,54,4.6129229128e6,1770.0584
MISO-MS6hour,500,3000,0.2,2500,34,38,4.9914885624e6,3275.1487999999995
MN-C6hour,500,3000,0.2,2500,93,109,281432.8308,263.4048
MN-NE6hour,500,3000,0.2,2500,156,171,73597.8548,195.12720000000002
MN-SE6hour,500,3000,0.2,2500,156,171,1.6492396619999995e6,379.6676000000001
NIPS6hour,500,3000,0.2,2500,140,156,19993.549600000002,61.69960000000001
SIPC6hour,500,3000,0.2,2500,156,171,59.04599999999999,2.4188
UPPC6hour,500,3000,0.2,2500,171,187,61971.7784,278.2584
