resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,468,500,573.7820000000002,0.906
ATC6hour,500,3000,0.2,1000,437,468,18.781999999999996,0.05600000000000002
CBPC-NIPCO6hour,500,3000,0.2,1000,437,500,1327.3870000000002,3.533
CONS6hour,500,3000,0.2,1000,468,500,13.695,0.03600000000000002
DECO6hour,500,3000,0.2,1000,468,500,1.0179999999999996,0.003000000000000001
EES-ARK6hour,500,3000,0.2,1000,437,468,11.472,0.027000000000000007
EES-TX6hour,500,3000,0.2,1000,468,500,2203.775,3.7690000000000006
IA-E6hour,500,3000,0.2,1000,437,500,112.49300000000001,0.241
IL-C6hour,500,3000,0.2,1000,437,500,5.547,0.024
IN-C6hour,500,3000,0.2,1000,468,500,0.0,0.0
IN-S6hour,500,3000,0.2,1000,437,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,437,468,3332.07,4.749999999999999
LA-N6hour,500,3000,0.2,1000,437,468,154.344,0.4029999999999999
MEC6hour,500,3000,0.2,1000,468,500,4946.2339999999995,3.746
MISO-MO6hour,500,3000,0.2,1000,437,500,29.034,0.12100000000000001
MISO-MS6hour,500,3000,0.2,1000,468,500,1010.2159999999999,2.924
MN-C6hour,500,3000,0.2,1000,468,500,295.767,0.9920000000000002
MN-NE6hour,500,3000,0.2,1000,468,500,18.894000000000005,0.16700000000000004
MN-SE6hour,500,3000,0.2,1000,468,500,1393.6939999999995,1.6909999999999998
NIPS6hour,500,3000,0.2,1000,468,500,0.0,0.0
SIPC6hour,500,3000,0.2,1000,437,500,0.010999999999999994,0.0010000000000000002
UPPC6hour,500,3000,0.2,1000,468,500,16.516000000000002,0.3419999999999999
