resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,1000,312,375,3290.9280000000003,2.073
ATC6hour,500,3000,0.2,1000,250,312,262.883,0.368
CBPC-NIPCO6hour,500,3000,0.2,1000,250,312,1196.579,2.8259999999999996
CONS6hour,500,3000,0.2,1000,187,250,443.68,0.399
DECO6hour,500,3000,0.2,1000,125,187,8.990000000000002,0.018000000000000002
EES-ARK6hour,500,3000,0.2,1000,125,187,46.472,0.10300000000000001
EES-TX6hour,500,3000,0.2,1000,250,281,2275.089,3.304
IA-E6hour,500,3000,0.2,1000,187,250,855.982,0.819
IL-C6hour,500,3000,0.2,1000,125,187,277.80999999999995,0.33699999999999997
IN-C6hour,500,3000,0.2,1000,250,312,0.0,0.0
IN-S6hour,500,3000,0.2,1000,250,312,0.0,0.0
LA-GULF6hour,500,3000,0.2,1000,218,250,7385.909000000001,5.8119999999999985
LA-N6hour,500,3000,0.2,1000,0,62,340.34499999999997,0.5860000000000001
MEC6hour,500,3000,0.2,1000,312,375,5508.320999999999,2.9619999999999997
MISO-MO6hour,500,3000,0.2,1000,250,312,390.98800000000006,0.7509999999999999
MISO-MS6hour,500,3000,0.2,1000,62,125,1867.2060000000001,3.2659999999999996
MN-C6hour,500,3000,0.2,1000,312,375,638.56,1.1689999999999996
MN-NE6hour,500,3000,0.2,1000,250,312,45.66199999999999,0.25500000000000006
MN-SE6hour,500,3000,0.2,1000,125,187,1387.3550000000002,1.36
NIPS6hour,500,3000,0.2,1000,125,187,0.63,0.006999999999999998
SIPC6hour,500,3000,0.2,1000,187,250,0.22600000000000003,0.013000000000000005
UPPC6hour,500,3000,0.2,1000,250,312,69.04599999999999,0.9269999999999998
