resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ2hour,500,1000,0.2,1000,31,38,2.6140317640000004e6,1402.3209999999997
ATC2hour,500,1000,0.2,1000,250,281,149847.696,79.70100000000001
CBPC-NIPCO2hour,500,1000,0.2,1000,38,46,290599.62,479.27199999999993
CONS2hour,500,1000,0.2,1000,125,250,148029.39200000002,65.36300000000001
DECO2hour,500,1000,0.2,1000,375,500,12537.754999999997,11.302999999999999
EES-ARK2hour,500,1000,0.2,1000,0,31,29095.470999999994,38.391999999999996
EES-TX2hour,500,1000,0.2,1000,46,62,389794.704,452.05600000000015
IA-E2hour,500,1000,0.2,1000,46,62,411406.21,307.721
IL-C2hour,500,1000,0.2,1000,0,62,55656.632,51.821999999999996
IN-C2hour,500,1000,0.2,1000,0,125,155.469,0.45100000000000007
IN-S2hour,500,1000,0.2,1000,125,250,0.0,0.0
LA-GULF2hour,500,1000,0.2,1000,7,15,2.3987657339999997e6,1713.3020000000001
LA-N2hour,500,1000,0.2,1000,31,46,126381.828,110.99699999999999
MEC2hour,500,1000,0.2,1000,15,23,3.2549638019999997e6,1249.9340000000002
MISO-MO2hour,500,1000,0.2,1000,31,46,1.030400258e6,531.0859999999999
MISO-MS2hour,500,1000,0.2,1000,0,15,701419.3719999999,715.7549999999999
MN-C2hour,500,1000,0.2,1000,46,62,106162.249,175.551
MN-NE2hour,500,1000,0.2,1000,62,77,17440.411999999997,69.39000000000003
MN-SE2hour,500,1000,0.2,1000,31,46,1.0200107220000001e6,408.87200000000007
NIPS2hour,500,1000,0.2,1000,375,437,292.98,1.2559999999999998
SIPC2hour,500,1000,0.2,1000,62,93,2.5609999999999995,0.05900000000000001
UPPC2hour,500,1000,0.2,1000,15,31,16433.489999999998,90.17
